days_ahead,n_forecasts,rmse,sample
70,16,0.12523103648856534,Starting in 2001
71,16,0.13048587088263816,Starting in 2001
74,12,0.11289744608862243,Starting in 2001
75,15,0.12063719713808517,Starting in 2001
76,15,0.13378465283183094,Starting in 2001
77,16,0.13453624047073695,Starting in 2001
78,13,0.1350712062922034,Starting in 2001
81,11,0.10766108438479388,Starting in 2001
82,15,0.1465207607587869,Starting in 2001
83,16,0.15475282711472718,Starting in 2001
84,15,0.1643826835973538,Starting in 2001
85,14,0.17743207956044257,Starting in 2001
88,13,0.15081190526357963,Starting in 2001
89,16,0.17187386363260773,Starting in 2001
90,14,0.20609463845525272,Starting in 2001
91,15,0.17480465287476468,Starting in 2001
92,13,0.20316722933810732,Starting in 2001
95,13,0.14165233713350867,Starting in 2001
96,14,0.16899387140198124,Starting in 2001
97,14,0.16827379899607783,Starting in 2001
98,14,0.16117315444665828,Starting in 2001
99,14,0.13982131454109736,Starting in 2001
102,13,0.09140989678787201,Starting in 2001
103,15,0.14778926438231815,Starting in 2001
104,15,0.16033818426480367,Starting in 2001
105,16,0.16953981833186169,Starting in 2001
106,16,0.17135945407242645,Starting in 2001
109,13,0.11067103018892077,Starting in 2001
110,15,0.16500000000000165,Starting in 2001
111,15,0.17011760637864823,Starting in 2001
112,16,0.16425019025864113,Starting in 2001
113,15,0.15959323293924516,Starting in 2001
116,12,0.1136606792166916,Starting in 2001
117,16,0.1846406983847302,Starting in 2001
118,16,0.1914908614007495,Starting in 2001
119,15,0.19435791725576881,Starting in 2001
120,16,0.18545552027373333,Starting in 2001
123,13,0.15051194688079292,Starting in 2001
124,16,0.19795438237129534,Starting in 2001
125,15,0.226851640211541,Starting in 2001
126,16,0.21363666586052021,Starting in 2001
127,14,0.24310491562286515,Starting in 2001
130,13,0.15940996976832586,Starting in 2001
131,14,0.20272254085678004,Starting in 2001
132,16,0.18808658245606058,Starting in 2001
133,14,0.19095156453928497,Starting in 2001
134,12,0.18115946014492493,Starting in 2001
137,13,0.11421134255944551,Starting in 2001
138,15,0.17716282529545285,Starting in 2001
139,14,0.18746428231227974,Starting in 2001
140,15,0.18304826321674575,Starting in 2001
141,14,0.1989526146024293,Starting in 2001
144,13,0.12940693121372515,Starting in 2001
145,13,0.22064154710229195,Starting in 2001
146,14,0.18672936872077128,Starting in 2001
147,15,0.18259244234086247,Starting in 2001
148,15,0.18486481547336378,Starting in 2001
151,14,0.14311583719890342,Starting in 2001
152,16,0.20078751206188272,Starting in 2001
153,15,0.21156953151781338,Starting in 2001
