days_ahead,rmse_quarterly,rmse_linear,rmse_loess,rmse_daily,adjustment_ratio,rmse_daily_adjusted,rmse_combined
203,NA,0.6254858524117942,0.607864673705017,0.276705748817352,0.4894710291348448,0.4522527093077406,0.4522527093077406
204,NA,0.6268665321346109,0.6094440170254547,0.266886367829706,0.4894710291348448,0.4362037414985494,0.4362037414985494
205,NA,0.6282472118574275,0.6110212013140972,NA,0.4894710291348448,NA,0.6282472118574275
206,NA,0.6296278915802441,0.6125962283635696,NA,0.4894710291348448,NA,0.6296278915802441
207,NA,0.6310085713030608,0.6141690999664972,0.27350502737609605,0.4894710291348448,0.44702139427459014,0.44702139427459014
208,NA,0.6323892510258774,0.6157398179155046,0.26729464747994647,0.4894710291348448,0.43687104089064976,0.43687104089064976
209,NA,0.633769930748694,0.6173083840032171,0.312798428932848,0.4894710291348448,0.5112432161482225,0.5112432161482225
210,NA,0.6351506104715108,0.61887480002226,0.25840513595072795,0.4894710291348448,0.42234186796708606,0.42234186796708606
211,NA,0.6365312901943274,0.6204390677652584,0.27983094386228535,0.4894710291348448,0.4573605826794615,0.4573605826794615
212,NA,0.637911969917144,0.6220011890248369,NA,0.4894710291348448,NA,0.637911969917144
213,NA,0.6392926496399607,0.6235611655936213,NA,0.4894710291348448,NA,0.6392926496399607
214,NA,0.6406733293627773,0.6251189992642361,0.24635340468522146,0.4894710291348448,0.40264430786951166,0.40264430786951166
215,NA,0.642054009085594,0.6266746918293067,0.23605790250134367,0.4894710291348448,0.3858171592604095,0.3858171592604095
216,NA,0.6434346888084106,0.6282282450814581,0.24029228996242147,0.4894710291348448,0.392737916092228,0.392737916092228
217,NA,0.6448153685312272,0.6297796608133155,0.24604538876665308,0.4894710291348448,0.40214088127184305,0.40214088127184305
218,NA,0.646196048254044,0.6313289408175038,0.24381187577562788,0.4894710291348448,0.39849038862475344,0.39849038862475344
219,NA,0.6475767279768606,0.6328760868866483,NA,0.4894710291348448,NA,0.6475767279768606
220,NA,0.6489574076996772,0.6344211008133738,NA,0.4894710291348448,NA,0.6489574076996772
